ClientName,bid,cid,pred_date,dailylimit_date_before,ml_pred_spd,adjusted_spd
Verb Products,1600,4450,2018-08-10,21.2514,20.81,22.6703
Goodlife Clothing,2119,4155,2018-08-10,32.5,27.0,25.137
Organifi,2150,4452,2018-08-10,27.5,26.94,26.94
Organifi,2150,4453,2018-08-10,27.5,27.68,27.68
Organifi,2150,4454,2018-08-10,11.5,15.2,15.2
Organifi,2150,4455,2018-08-10,9.25,9.83,2.22
Organifi,2150,4456,2018-08-10,25.0,24.4,24.4
Organifi,2150,4457,2018-08-10,15.0,17.84,17.84
Organifi,2150,4458,2018-08-10,23.75,24.73,24.73
Porter Road,2160,4466,2018-08-10,25.0,26.57,25.0
Goodlife Clothing,2119,4243,2018-08-10,34.75,52.02,50.9796
Shopkick,2123,4470,2018-08-10,6.25,6.96,3.75
Ace Adventure Resort,1827,4476,2018-08-10,5.0,5.09,5.09
Ace Adventure Resort,1827,4477,2018-08-10,2.0,1.72,1.72
Original Grain,1899,4210,2018-08-10,25.0,13.07,12.445
Ace Adventure Resort,1827,4479,2018-08-10,6.3,6.42,6.42
Ace Adventure Resort,1827,4480,2018-08-10,1.25,1.2,0.91
Gymboree,1878,3457,2018-08-10,27.5,37.76,37.0048
Barbell Apparel,1641,1410,2018-08-10,8.0,13.31,12.64
Verb Products,1600,3971,2018-08-10,12.5,11.81,13.6703
Verb Products,1600,3972,2018-08-10,13.75,11.31,13.1703
Barbell Apparel,1641,1413,2018-08-10,32.5,40.15,32.5754
Vincero Collective,1864,2502,2018-08-10,160.25,151.35,155.697
ICEMULE Coolers,1802,2797,2018-08-10,3.25,3.79,1.48625
Threadbeast,1897,3986,2018-08-10,56.25,50.56,56.3317
FabFitFun,1840,2451,2018-08-10,333.5,256.22,285.741
Gaia,1751,1941,2018-08-10,135.5,133.21,140.989
Gaia,1751,1942,2018-08-10,26.0,25.05,32.8287
OHMConnect,2088,3992,2018-08-10,25.0,15.68,24.255
OHMConnect,2088,3993,2018-08-10,12.5,4.67,13.245
Gobble,1841,4508,2018-08-10,5.0,4.09,8.95833
