cid,bid,value
1683,1726,0.75
1682,1726,0.75
1681,1691,0.75
1680,1726,0.75
1679,1724,10.0
1678,1726,0.75
1677,1571,0.75
1676,1571,0.75
1675,1571,0.75
1674,1571,0.75
1673,1729,0.75
1671,1729,0.68
1669,1697,0.75
1668,1730,0.75
1667,1677,0.75
1666,1317,0.65
1665,21,0.75
1664,1708,10.0
1663,1704,0.68
1662,1704,0.75
1661,1704,0.68
1660,1704,0.75
1659,1727,10.0
1658,1727,10.0
1657,1727,10.0
1656,1727,10.0
1655,1727,10.0
1654,1727,10.0
1653,1727,10.0
1652,1727,10.0
1651,1557,0.65
1650,1557,0.65
1649,1726,0.75
1648,1726,0.75
1647,1726,0.75
1646,1726,0.75
1645,1722,0.75
1644,1721,0.75
1643,1721,0.75
1642,1721,0.75
1641,1721,0.75
1640,1720,0.75
1639,1720,0.75
1638,1720,0.75
1637,1720,0.7
1636,1693,0.75
1635,1693,0.75
1634,1722,0.75
1633,1722,0.75
1632,1701,0.75
1631,1701,0.75
1630,1701,0.75
1629,1693,0.75
1628,1693,0.75
1627,1689,0.75
1626,1689,0.75
1625,1689,0.75
1624,1689,0.65
1623,1704,0.75
1622,1704,0.65
1621,1704,0.75
1620,1704,0.75
1619,1704,0.75
1618,1691,0.75
1617,1251,0.68
1616,1701,0.75
1615,1317,0.75
1614,1317,0.7
1613,1649,0.75
1612,1708,10.0
1611,1317,0.75
1610,1317,0.65
1609,1715,0.75
1608,1618,0.75
1607,1656,0.75
1606,1656,0.75
1605,1656,0.75
1604,1656,0.75
1603,1712,0.75
1602,1618,0.75
1601,1702,0.75
1600,1702,0.75
1599,1702,0.75
1598,1645,0.75
1597,1704,0.75
1596,1704,0.75
1595,1704,0.75
1594,1704,0.75
1593,1704,0.75
1592,1704,0.75
1591,1618,0.75
1590,1638,0.75
1589,1638,0.75
1588,1704,0.75
1587,1704,0.75
1586,1704,0.75
1585,1704,0.75
1584,1691,0.68
1583,1691,0.7
1582,1691,0.75
1581,1691,0.75
1580,1697,0.75
1579,1697,0.75
1578,1697,0.75
1577,1697,0.7
1576,1370,0.75
1575,1370,0.75
1574,1370,0.75
1573,1370,0.75
1572,1557,0.65
1571,1700,0.65
1570,1700,0.75
1569,1700,0.65
1568,21,0.75
1567,1700,0.65
1566,1694,0.65
1565,1694,0.7
1564,1694,0.75
1563,1694,0.65
1562,1690,0.75
1561,1690,0.75
1560,1690,0.75
1559,1696,0.75
1558,1696,0.75
1557,1690,0.75
1556,1690,0.75
1555,1347,0.75
1554,1678,0.75
1553,1678,0.75
1552,1678,0.75
1551,1618,0.75
1550,1618,0.75
1549,1251,0.75
1548,1686,0.75
1547,1578,0.75
1546,1578,0.75
1545,1578,0.75
1544,1667,0.75
1543,1557,0.65
1542,1638,0.75
1541,1638,0.75
1540,1638,0.75
1539,1638,0.75
1538,1638,0.75
1537,1638,0.75
1536,1638,0.75
1535,1638,0.75
1534,1638,0.75
1533,1549,0.75
1532,1549,0.75
1531,1581,0.75
1530,1664,0.75
1529,1645,0.75
1528,1686,0.7
1527,1686,0.7
1526,1681,0.75
1525,1681,0.75
1524,1666,0.7
1523,1666,0.7
1522,1666,0.75
1521,1666,0.68
1519,1667,0.75
1518,1684,0.75
1517,1684,0.75
1516,1684,0.75
1515,1684,0.75
1514,1684,0.75
1513,1684,0.75
1512,1684,0.75
1511,1684,0.75
1510,1684,0.75
1509,1674,0.75
1508,1674,0.75
1507,1674,0.75
1506,1674,0.75
1505,1638,0.8
1504,1561,0.75
1503,1641,0.75
1502,1617,0.75
1501,1677,0.75
1500,1641,0.75
1499,1638,0.75
1498,1686,0.7
1497,1686,0.7
1496,1675,0.75
1495,1675,0.75
1494,1677,0.7
1493,1677,0.65
1492,1685,0.75
1491,1685,0.75
1490,1684,0.75
1489,1684,0.75
1488,1634,0.75
1487,1634,0.75
1486,1677,0.7
1485,1677,0.7
1484,1251,0.75
1483,1630,0.9
1482,1678,0.75
1481,1678,0.75
1480,1630,0.9
1479,1630,0.9
1478,1630,0.9
1477,1630,0.9
1476,1571,0.75
1475,1665,0.75
1474,1652,0.75
1473,1557,0.65
1472,1557,0.65
1471,1557,0.65
1470,1235,0.75
1469,1235,0.8
1468,1557,0.65
1467,1557,0.65
1466,1644,0.75
1465,1667,0.75
1464,1235,0.5
1463,1667,0.75
1462,1667,0.75
1461,1667,0.75
1460,1667,0.75
1459,1571,0.75
1458,1645,0.75
1457,1645,0.75
1456,1645,0.75
1455,1587,0.75
1454,1587,0.75
1453,1671,0.75
1452,1671,0.75
1451,1671,0.75
1450,1671,0.75
1449,1659,0.75
1448,1659,0.75
1447,1659,0.75
1446,1659,0.75
1445,1673,0.75
1444,1673,0.75
1443,1670,0.75
1442,1670,0.75
1441,1670,0.75
1440,1670,0.75
1439,1656,0.7
1438,1656,0.75
1437,1656,0.7
1436,1656,0.7
1435,1664,0.75
1434,1664,0.75
1433,1656,0.68
1432,1656,0.68
1431,1627,0.75
1430,1627,0.75
1429,1656,0.75
1428,1638,0.75
1427,1663,0.75
1426,1663,0.75
1425,1663,0.75
1424,1663,0.75
1423,1665,0.75
1422,1665,0.75
1421,1665,0.75
1420,1665,0.75
1419,1664,0.75
1418,1664,0.75
1417,1656,0.75
1416,1656,0.75
1415,1656,0.75
1414,1656,0.75
1413,1641,0.75
1412,1641,0.75
1411,1641,0.75
1410,1641,0.75
1409,1662,0.75
1408,1662,0.75
1407,1658,0.75
1406,1658,0.75
1405,1629,0.75
1404,1652,0.7
1403,1652,0.7
1402,1649,0.72
1401,1649,0.75
1400,1649,0.75
1399,1649,0.75
1398,1644,0.75
1397,1644,0.75
1396,1650,0.55
1395,1650,0.55
1394,1534,0.75
1393,1534,0.75
1392,1534,0.75
1391,1534,0.75
1386,1557,0.65
1385,21,0.75
1384,21,0.75
1383,254,0.75
1382,1655,4.5
1381,895,0.5
1380,1652,0.7
1379,1652,0.7
1378,1628,0.7
1377,1651,4.5
1376,1538,0.75
1375,1604,0.5
1374,1587,0.75
1373,1650,0.55
1372,1650,0.55
1371,1650,0.55
1370,1650,0.55
1369,1650,0.55
1368,1650,0.55
1367,1650,0.55
1366,1650,0.55
1365,1638,0.65
1364,1571,0.75
1363,1615,0.67
1362,1648,0.75
1361,1347,0.75
1360,1627,0.75
1359,1627,0.75
1358,1600,0.75
1357,1648,0.75
1356,1648,0.75
1355,1648,0.75
1354,1648,0.75
1353,1648,0.75
1352,1639,0.75
1351,1604,0.5
1350,1639,0.75
1349,1639,0.75
1348,1639,0.75
1347,1638,0.65
1346,1638,0.65
1345,1638,0.65
1344,1638,0.65
1343,1646,0.75
1342,1646,0.75
1341,1647,4.5
1340,1644,0.75
1339,1644,0.75
1338,1645,0.75
1337,1645,0.75
1336,1621,0.6
1335,1621,0.6
1334,1072,0.75
1333,1072,0.75
1332,1621,0.6
1331,1621,0.6
1330,1637,0.75
1329,1637,0.75
1328,1643,0.75
1327,1643,0.75
1326,1072,0.75
1325,1640,10.0
1324,1640,10.0
1323,1640,10.0
1322,1629,0.65
1321,1629,0.65
1320,1629,0.65
1319,1639,0.75
1318,1639,0.75
1317,1639,0.75
1316,1617,0.75
1315,1617,0.75
1314,1629,0.65
1313,1629,0.65
1312,1631,0.75
1311,1631,0.75
1310,1621,0.6
1309,1621,0.6
1308,1600,0.75
1307,1600,0.75
1306,1634,0.75
1305,1635,0.75
1304,1634,0.75
1303,1635,0.75
1302,1634,0.75
1301,1634,0.75
1300,1634,0.75
1299,1635,0.75
1298,1635,0.75
1297,1617,0.75
1296,1617,0.75
1295,1617,0.75
1294,1625,0.75
1293,1625,0.75
1292,1625,0.75
1291,1632,0.75
1290,1632,0.75
1289,1628,0.7
1288,1625,0.75
1287,1624,0.75
1286,1624,0.75
1285,1624,0.75
1284,1624,0.75
1283,1628,0.7
1282,1628,0.7
1281,1628,0.7
1280,1628,0.7
1279,1628,0.7
1278,1625,0.75
1277,1625,0.75
1276,1625,0.75
1275,1625,0.75
1274,1615,0.67
1273,1615,0.67
1272,1615,0.67
1271,1615,0.67
1270,1584,0.75
1269,1611,0.5
1268,1611,0.5
1267,1626,
1266,1626,
1265,1604,0.5
1264,1602,0.75
1263,1620,
1262,1620,
1261,1623,
1260,1623,
1259,1612,
1258,1612,
1257,1619,4.5
1256,1616,
1255,1616,
1254,1611,0.5
1253,1611,0.5
1252,1606,
1251,1606,
1250,1604,0.5
1249,1604,0.5
1248,1312,0.75
1247,1610,
1246,1610,
1245,1609,
1244,1609,
1243,1604,0.5
1242,1608,0.75
1241,1608,0.75
1240,1604,0.5
1239,1591,0.75
1238,1591,0.75
1237,1591,0.75
1236,1591,0.75
1235,1591,0.75
1234,1604,0.5
1233,1607,
1232,1607,
1231,1605,
1230,1605,
1229,1606,
1228,1606,
1227,1312,0.75
1226,1603,
1225,1556,0.75
1224,1556,0.75
1223,1556,0.75
1222,1602,0.75
1221,1602,0.75
1220,1602,0.75
1219,1602,0.75
1218,1587,0.75
1217,1601,0.75
1216,1601,0.75
1215,1600,0.75
1214,1600,0.75
1213,1598,
1212,1598,
1211,1596,0.75
1210,1596,0.75
1209,1590,0.75
1208,1590,0.75
1207,1596,0.75
1206,1596,0.75
1205,1593,0.75
1204,1595,4.5
1203,1594,
1202,1594,
1201,950,
1200,1593,0.75
1199,1593,0.75
